sid,hy_is_retail,hy_pressures,hy_standards,hy_status_link
61980,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/hollywood
61981,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/playa-del-rey
61982,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/mill-valley
61983,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/thousand-oaks
61984,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/del-mar
61985,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/san-jose
61986,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/santa-barbara
61987,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/saratoga
61988,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/south-pasadena
61989,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/south-san-francisco
61990,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/lake-tahoe-truckee
62002,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/lawndale
62004,1.0,"[""350"",""700""]","[""J2601""]",None
62009,0.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/riverside-0
62011,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/san-ramon
62013,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/mountain-view
62014,None,"[""350"",""700""]","[""J2601"",""J2601-2""]",None
62015,None,"[""350""]",None,None
62017,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/san-juan-capistrano
62018,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/santa-monica-0
62022,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/woodland-hills
62113,1.0,"[""350"",""700""]","[""J2601""]",None
64018,1.0,"[""350"",""700""]","[""J2601""]",http://cafcp.org/content/west-sacramento
66739,0.0,"[""350""]","[""J2601""]",None
66740,0.0,"[""350""]","[""J2601""]",None
66848,0.0,"[""350""]","[""J2601""]",None
70260,0.0,"[""350""]","[""J2601-2""]",None
71933,1.0,"[""350"",""700""]","[""J2601""]",https://cafcp.org/stationmap
73480,None,"[""350""]","[""J2601"",""J2601-2""]",None
75427,0.0,"[""350""]","[""J2601""]",None
81818,1.0,"[""700""]","[""J2601""]",None
82474,1.0,"[""350"",""700""]","[""J2601""]",None
88094,1.0,"[""700""]","[""J2601""]",None
88307,1.0,"[""700""]","[""J2601""]",http://m.cafcp.org/content/san-francisco-third-st
88308,1.0,"[""700""]","[""J2601""]",http://m.cafcp.org/content/san-francisco-mission-st
88309,1.0,"[""700""]","[""J2601""]",http://m.cafcp.org/content/berkeley
88310,1.0,"[""700""]","[""J2601""]",http://m.cafcp.org/content/san-francisco-harrison-st
88312,1.0,"[""350"",""700""]","[""J2601""]",None
88313,1.0,"[""350"",""700""]","[""J2601""]",http://cafcp.org/content/sunnyvale
88315,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/oakland-grand-ave
88317,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/san-diego
88318,1.0,"[""700""]","[""J2601""]",http://m.cafcp.org/content/sacramento
88319,1.0,"[""350"",""700""]","[""J2601""]",http://cafcp.org/content/campbell-east-hamilton-ave
88320,1.0,"[""700""]","[""J2601""]",http://m.cafcp.org/content/citrus-heights
91992,1.0,"[""350"",""700""]","[""J2601""]",https://m.cafcp.org/content/studio-city
91993,1.0,"[""700""]","[""J2601""]",None
97043,1.0,"[""700""]","[""J2601""]",None
97044,1.0,"[""700""]","[""J2601""]",None
97045,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/mission-hills
102640,None,None,None,None
121689,1.0,"[""700""]","[""J2601""]",https://m.h2fcp.org/content/san-jose-bernal-road
121860,None,"[""350""]",None,None
122915,1.0,"[""350"",""700""]","[""J2601""]",http://cafcp.org/content/fountain-valley-0
122916,1.0,None,None,None
122917,0.0,None,None,None
153941,1.0,"[""350"",""700""]","[""J2601""]",http://m.cafcp.org/content/diamond-bar
153942,None,"[""350""]","[""J2601-2""]",None
166214,1.0,"[""350"",""700""]","[""J2601""]",http://cafcp.org/content/concord
168371,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/plancentia
168372,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/aliso-viejo
168373,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/baldwin-park
168374,1.0,"[""700""]","[""J2601""]",None
168375,1.0,"[""700""]","[""J2601""]",https://m.h2fcp.org/content/orange-0
168376,1.0,"[""700""]","[""J2601""]",https://m.h2fcp.org/content/costa-mesa-bristol-st
168377,1.0,"[""700""]","[""J2601""]",None
168378,1.0,"[""700""]","[""J2601""]",None
168379,1.0,"[""700""]","[""J2601""]",None
168380,1.0,"[""700""]","[""J2601""]",None
168382,1.0,"[""700""]","[""J2601""]",None
168383,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/san-bernardino
168384,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/el-cerrito
168385,1.0,"[""700""]","[""J2601""]",None
168386,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/buena-park
168387,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/glendale
168388,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/los-gatos
168389,1.0,"[""700""]","[""J2601""]",None
168390,1.0,"[""700""]","[""J2601""]",None
168391,1.0,"[""700""]","[""J2601""]",None
168392,1.0,"[""700""]","[""J2601""]",None
168393,1.0,"[""700""]","[""J2601""]",None
168394,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/artesia
168395,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/monrovia
168396,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/carlsbad
168398,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/corona
168399,1.0,"[""700""]","[""J2601""]",None
168400,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/fontana
168401,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/la-mirada
168402,1.0,"[""700""]","[""J2601""]",https://m.h2fcp.org/content/hawaiian-gardens
183687,None,None,None,None
183688,None,None,None,None
186302,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/folsom
186303,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/Novato
186304,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/pasadena-s-arroyo-parkway
186305,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/santa-rosa
186306,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/sun-valley
186360,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/arcadia
186361,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/camarillo
186362,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/oakland
186363,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/orinda
186364,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/pasadena-n-allen-ave
186365,1.0,"[""700""]","[""J2601""]",http://www.cafcp.com/content/riverside-central-ave
186366,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/san-dimas
186367,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/tustin
186369,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/ventura
186370,1.0,"[""700""]","[""J2601""]",https://h2fcp.org/content/sacramento
186395,0.0,"[""700""]","[""J2601"",""J2601-2""]",None
188026,1.0,"[""700""]","[""J2601-2""]",None
193418,1.0,"[""700""]","[""J2601""]",http://cafcp.org/content/seal-beach
224713,1.0,"[""700""]","[""J2601""]",None
224714,1.0,"[""350"",""700""]","[""J2601""]",None
224715,1.0,"[""700""]","[""J2601""]",None
238687,1.0,"[""700""]",None,None
